name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,location
9301 Johnny Morris Road Austin,01/21/2020,60.0,40.7,51.1,60.0,38.6,51.0,31.9,49.4,0.0,0,0.0,,0,0,27.7,13.6,156.2,1029.5,62.4,9.7,122.4,10.7,6,,2020-01-21T07:26:34,2020-01-21T17:57:12,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/22/2020,57.7,46.8,52.2,57.7,42.5,50.7,50.2,93.1,0.761,100,83.33,rain,0,0,24.6,10.6,145.7,1017.1,96.2,4.0,13.7,1.2,1,,2020-01-22T07:26:15,2020-01-22T17:58:05,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/23/2020,64.0,46.0,54.0,64.0,45.4,53.7,48.2,82.3,0.019,100,4.17,rain,0,0,26.2,13.9,348.0,1015.7,39.1,7.6,152.8,13.2,6,,2020-01-23T07:25:54,2020-01-23T17:58:58,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/24/2020,64.9,40.2,51.7,64.9,39.0,51.3,35.9,60.7,0.0,0,0.0,,0,0,14.1,6.5,355.2,1020.9,2.0,9.8,167.4,14.3,6,,2020-01-24T07:25:31,2020-01-24T17:59:51,0.0,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/25/2020,66.3,40.6,54.2,66.3,40.6,54.2,45.2,72.6,0.015,100,16.67,rain,0,0,24.5,13.6,177.5,1018.7,52.8,8.9,84.6,7.3,4,,2020-01-25T07:25:07,2020-01-25T18:00:44,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/26/2020,76.4,50.3,61.9,76.4,50.3,61.9,50.7,72.1,0.006,100,4.17,rain,0,0,18.3,8.5,0.8,1015.4,40.6,6.7,170.8,14.7,6,,2020-01-26T07:24:41,2020-01-26T18:01:37,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/27/2020,67.6,45.8,54.6,67.6,43.8,54.5,50.1,85.8,0.0,0,0.0,,0,0,21.0,11.1,137.1,1015.3,37.1,7.4,109.0,9.5,6,,2020-01-27T07:24:14,2020-01-27T18:02:30,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/28/2020,72.0,50.3,57.4,72.0,50.3,57.4,47.8,73.7,0.227,100,20.83,rain,0,0,32.6,22.0,259.7,1012.9,56.1,7.3,123.7,10.7,6,,2020-01-28T07:23:45,2020-01-28T18:03:23,0.12,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/29/2020,59.5,42.7,50.1,59.5,38.1,47.1,37.7,63.2,0.0,0,0.0,,0,0,24.4,14.7,346.5,1017.8,3.3,9.9,180.0,15.6,7,,2020-01-29T07:23:15,2020-01-29T18:04:16,0.16,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/30/2020,48.7,42.4,45.9,46.6,36.6,42.2,39.8,79.2,0.003,100,4.17,rain,0,0,18.1,10.3,19.5,1019.7,95.9,9.2,48.6,4.2,2,,2020-01-30T07:22:43,2020-01-30T18:05:08,0.19,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/31/2020,59.3,43.2,49.7,59.3,41.3,48.2,37.9,65.8,0.0,0,0.0,,0,0,18.3,10.0,344.2,1021.8,50.4,9.7,148.8,12.9,7,,2020-01-31T07:22:09,2020-01-31T18:06:01,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/01/2020,71.5,39.4,53.6,71.5,35.6,52.2,32.6,52.1,0.0,0,0.0,,0,0,23.0,11.8,283.0,1024.3,5.4,9.9,182.3,15.7,7,,2020-02-01T07:21:35,2020-02-01T18:06:53,0.25,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/02/2020,76.9,41.4,58.7,76.9,38.9,58.5,32.7,42.9,0.0,0,0.0,,0,0,23.6,14.2,200.0,1019.0,9.5,9.9,184.3,16.0,7,,2020-02-02T07:20:58,2020-02-02T18:07:45,0.29,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/03/2020,72.0,55.5,64.1,72.0,55.5,64.1,55.6,74.5,0.0,0,0.0,,0,0,28.2,17.7,181.7,1010.2,49.9,9.9,56.1,4.8,3,,2020-02-03T07:20:20,2020-02-03T18:08:37,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/04/2020,76.6,46.8,64.0,76.6,40.6,63.0,56.5,77.6,0.0,0,0.0,,0,0,27.1,20.5,37.1,1008.4,67.1,9.2,119.5,10.4,5,,2020-02-04T07:19:41,2020-02-04T18:09:29,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/05/2020,45.2,34.4,39.7,38.7,26.8,31.5,33.8,79.6,0.002,100,4.17,"rain,snow",0,0,31.0,20.2,343.9,1011.6,96.2,7.9,49.5,4.4,2,,2020-02-05T07:19:01,2020-02-05T18:10:21,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/06/2020,54.0,31.3,40.7,54.0,24.9,37.1,23.1,54.3,0.02,100,8.33,"rain,snow",0,0,24.9,13.3,308.5,1011.5,15.2,9.6,188.2,16.3,7,,2020-02-06T07:18:19,2020-02-06T18:11:12,0.42,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/07/2020,74.9,34.2,52.5,74.9,31.7,52.0,28.2,43.7,0.0,0,0.0,,0,0,27.5,16.4,251.4,1012.9,7.7,9.9,183.1,15.9,7,,2020-02-07T07:17:36,2020-02-07T18:12:03,0.45,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/08/2020,68.6,43.0,55.4,68.6,38.2,54.0,41.2,59.6,0.0,0,0.0,,0,0,28.4,12.8,93.0,1019.9,62.1,9.9,113.0,9.9,5,,2020-02-08T07:16:51,2020-02-08T18:12:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/09/2020,72.0,61.6,67.0,72.0,61.6,67.0,64.1,90.6,0.031,100,29.17,rain,0,0,25.7,13.8,166.2,1015.1,98.4,6.7,25.1,2.0,1,,2020-02-09T07:16:05,2020-02-09T18:13:43,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/10/2020,69.6,47.3,57.2,69.6,41.6,56.0,54.2,89.6,0.192,100,25.0,rain,0,0,24.5,19.2,4.8,1014.6,96.0,5.5,19.2,1.6,1,,2020-02-10T07:15:18,2020-02-10T18:14:33,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/11/2020,46.5,42.4,44.5,41.5,35.5,38.5,42.0,90.9,0.22,100,66.67,rain,0,0,25.1,15.5,6.2,1018.2,97.6,5.1,19.2,1.7,1,,2020-02-11T07:14:30,2020-02-11T18:15:23,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/12/2020,56.0,43.6,48.0,56.0,38.6,45.6,43.4,84.8,0.99,100,33.33,rain,0,0,31.3,13.4,322.3,1013.2,57.8,8.0,97.4,8.4,4,,2020-02-12T07:13:40,2020-02-12T18:16:12,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/13/2020,51.7,39.0,45.1,51.7,35.1,41.2,37.1,74.2,0.0,0,0.0,,0,0,28.9,19.0,8.6,1023.9,27.1,9.8,163.6,14.0,7,,2020-02-13T07:12:50,2020-02-13T18:17:01,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/14/2020,57.8,33.0,44.2,57.8,27.7,41.6,32.9,66.0,0.0,0,0.0,,0,0,24.2,10.3,46.4,1029.3,4.8,9.9,199.9,17.3,7,,2020-02-14T07:11:58,2020-02-14T18:17:49,0.69,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/15/2020,64.4,36.2,51.3,64.4,36.2,51.3,43.6,76.0,0.0,0,0.0,,0,0,23.5,12.4,186.3,1022.7,68.2,9.0,88.6,7.6,4,,2020-02-15T07:11:05,2020-02-15T18:18:37,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/16/2020,75.8,49.3,60.5,75.8,49.3,60.5,53.8,79.9,0.0,0,0.0,,0,0,17.2,8.1,208.7,1015.8,47.6,8.3,117.0,10.1,5,,2020-02-16T07:10:11,2020-02-16T18:19:25,0.76,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/17/2020,78.1,56.5,68.3,78.1,56.5,68.3,63.3,85.3,0.014,100,12.5,rain,0,0,24.4,12.3,195.5,1010.6,69.6,6.8,87.7,7.5,4,,2020-02-17T07:09:16,2020-02-17T18:20:12,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/18/2020,69.8,49.6,62.0,69.8,45.3,61.6,58.0,87.1,0.037,100,20.83,rain,0,0,32.2,15.9,5.8,1015.9,90.0,5.7,30.0,2.6,2,,2020-02-18T07:08:20,2020-02-18T18:20:59,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/19/2020,49.6,47.1,48.2,45.3,42.4,43.6,45.5,90.3,0.083,100,41.67,rain,0,0,21.9,16.1,15.9,1023.6,96.8,7.2,22.1,1.8,1,,2020-02-19T07:07:22,2020-02-19T18:21:46,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/20/2020,50.8,43.8,46.3,50.8,36.1,40.7,41.0,82.2,0.334,100,58.33,rain,0,0,32.0,22.0,10.1,1029.1,76.5,7.4,33.8,2.7,2,,2020-02-20T07:06:24,2020-02-20T18:22:32,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/21/2020,54.3,35.8,43.9,54.3,28.0,39.7,32.1,64.0,0.0,0,0.0,,0,0,21.9,14.1,13.8,1036.8,26.9,9.9,204.5,17.7,8,,2020-02-21T07:05:25,2020-02-21T18:23:17,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/22/2020,62.2,42.5,51.8,62.2,42.5,51.6,37.6,60.1,0.0,0,0.0,,0,0,23.0,12.0,171.3,1027.5,54.8,9.9,181.1,15.6,7,,2020-02-22T07:04:25,2020-02-22T18:24:03,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/23/2020,67.8,52.8,60.2,67.8,52.8,60.2,53.2,77.9,0.0,0,0.0,,0,0,27.7,14.7,167.7,1016.7,96.6,9.9,45.3,3.9,3,,2020-02-23T07:03:25,2020-02-23T18:24:48,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/24/2020,69.0,52.1,63.4,69.0,52.1,63.4,48.7,63.3,0.003,100,4.17,rain,0,0,21.9,10.8,279.7,1010.7,34.1,9.0,117.2,10.1,4,,2020-02-24T07:02:23,2020-02-24T18:25:32,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/25/2020,65.5,46.2,54.9,65.5,40.3,54.1,38.2,56.0,0.0,0,0.0,,0,0,31.1,17.1,358.1,1014.6,23.2,9.9,205.7,17.6,7,,2020-02-25T07:01:20,2020-02-25T18:26:16,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/26/2020,54.3,38.6,46.4,54.3,31.2,42.4,22.9,40.7,0.0,0,0.0,,0,0,35.9,24.4,336.8,1029.4,29.6,9.9,216.1,18.6,8,,2020-02-26T07:00:17,2020-02-26T18:27:00,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/27/2020,61.6,30.9,45.7,61.6,28.7,45.1,22.5,45.0,0.0,0,0.0,,0,0,17.2,7.7,229.2,1029.0,0.0,9.9,226.0,19.3,8,,2020-02-27T06:59:13,2020-02-27T18:27:44,0.14,Clear,Clear conditions throughout the day.,clear-day,"E5346,KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/28/2020,72.6,35.9,53.9,72.6,35.9,53.2,26.7,38.6,0.0,0,0.0,,0,0,15.2,8.7,257.6,1027.6,8.9,9.1,211.8,18.2,8,,2020-02-28T06:58:08,2020-02-28T18:28:27,0.17,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,02/29/2020,73.9,40.0,58.2,73.9,40.0,58.2,37.6,49.4,0.0,0,0.0,,0,0,29.7,14.6,178.9,1022.8,14.3,8.7,214.8,18.6,8,,2020-02-29T06:57:03,2020-02-29T18:29:09,0.2,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,03/01/2020,76.0,56.0,64.6,76.0,56.0,64.6,56.8,77.0,0.0,0,0.0,,0,0,28.2,17.9,189.3,1013.3,56.7,9.8,106.5,9.0,5,,2020-03-01T06:55:57,2020-03-01T18:29:52,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,03/02/2020,76.4,64.9,69.1,76.4,64.9,69.1,63.1,82.2,0.0,0,0.0,,0,0,21.9,12.8,195.0,1009.7,74.4,7.4,92.0,8.0,4,,2020-03-02T06:54:50,2020-03-02T18:30:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
